"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2024","75,381.31","75,427.05","75,759.42","75,181.63","40.30M","-0.06%"
"12/30/2024","75,427.05","76,197.46","76,221.20","75,249.61","70.26M","-1.01%"
"12/27/2024","76,197.46","76,320.99","76,603.50","75,871.35","67.81M","-0.16%"
"12/24/2024","76,320.99","76,067.93","76,588.19","75,940.86","20.99M","0.33%"
"12/23/2024","76,067.93","75,888.86","76,277.36","75,490.51","69.16M","0.24%"
"12/20/2024","75,888.86","75,920.25","76,340.06","75,161.34","322.64M","-0.04%"
"12/19/2024","75,920.25","77,018.68","77,160.66","75,821.55","388.84M","-1.43%"
"12/18/2024","77,018.68","77,192.96","77,741.52","76,765.73","185.50M","-0.23%"
"12/17/2024","77,192.96","78,481.18","78,481.18","77,192.96","137.28M","-1.64%"
"12/13/2024","78,481.18","78,341.48","79,125.75","77,820.98","111.26M","0.18%"
"12/12/2024","78,341.48","78,478.82","79,029.30","78,263.88","121.32M","-0.18%"
"12/11/2024","78,478.82","78,703.60","78,733.53","78,009.77","118.63M","-0.29%"
"12/10/2024","78,703.60","79,049.13","79,049.13","78,341.16","106.12M","-0.44%"
"12/09/2024","79,049.13","78,365.23","79,237.75","78,064.10","137.80M","0.87%"
"12/06/2024","78,365.23","78,286.26","78,774.11","78,197.17","113.09M","0.10%"
"12/05/2024","78,286.26","77,711.66","78,570.41","77,371.13","141.56M","0.74%"
"12/04/2024","77,711.66","77,281.22","78,035.28","77,200.75","142.41M","0.56%"
"12/03/2024","77,281.22","77,278.08","78,079.45","77,114.99","157.17M","0.00%"
"12/02/2024","77,278.08","76,052.41","77,560.68","76,012.16","117.07M","1.61%"
"11/29/2024","76,052.41","76,338.98","76,474.18","76,052.41","123.61M","-0.38%"
"11/28/2024","76,338.98","76,710.04","76,757.85","76,287.48","93.87M","-0.48%"
"11/27/2024","76,710.04","77,006.98","77,381.12","76,667.32","128.64M","-0.39%"
"11/26/2024","77,006.98","76,530.52","77,041.24","76,077.51","131.44M","0.62%"
"11/25/2024","76,530.52","77,151.13","77,411.56","76,530.52","231.10M","-0.80%"
"11/22/2024","77,151.13","77,113.16","77,670.45","76,933.34","110.64M","0.05%"
"11/21/2024","77,113.16","76,940.98","77,434.86","76,872.00","127.97M","0.22%"
"11/20/2024","76,940.98","76,300.89","77,143.33","76,241.68","108.26M","0.84%"
"11/19/2024","76,300.89","76,224.61","76,935.08","76,149.59","93.31M","0.10%"
"11/18/2024","76,224.61","75,773.36","76,482.77","75,741.44","81.35M","0.60%"
"11/15/2024","75,773.36","75,786.33","76,205.03","75,517.95","95.24M","-0.02%"
"11/14/2024","75,786.33","75,762.67","76,079.59","75,401.75","117.00M","0.03%"
"11/13/2024","75,762.67","76,130.88","76,270.11","75,629.77","97.57M","-0.48%"
"11/12/2024","76,130.88","76,638.89","76,638.89","75,773.76","146.30M","-0.66%"
"11/11/2024","76,638.89","76,969.90","77,217.47","76,638.89","81.29M","-0.43%"
"11/08/2024","76,969.90","77,880.84","77,880.84","76,745.96","101.04M","-1.17%"
"11/07/2024","77,880.84","77,232.33","78,098.53","77,194.14","128.65M","0.84%"
"11/06/2024","77,232.33","78,497.60","78,516.25","77,014.46","150.81M","-1.61%"
"11/05/2024","78,497.60","78,052.33","78,497.60","77,968.02","141.45M","0.57%"
"11/04/2024","78,052.33","78,091.69","78,298.05","77,848.96","96.52M","-0.05%"
"11/01/2024","78,091.69","77,327.58","78,212.82","77,309.59","109.27M","0.99%"
"10/31/2024","77,327.58","78,646.69","78,646.69","77,189.54","133.93M","-1.68%"
"10/30/2024","78,646.69","79,132.88","79,132.88","78,252.88","169.71M","-0.61%"
"10/29/2024","79,132.88","79,400.61","79,650.68","78,747.31","157.42M","-0.34%"
"10/28/2024","79,400.61","78,929.38","79,512.97","78,590.23","150.19M","0.60%"
"10/25/2024","78,929.38","78,880.66","79,117.81","78,552.83","123.81M","0.06%"
"10/24/2024","78,880.66","78,525.99","79,316.74","78,525.99","122.18M","0.45%"
"10/23/2024","78,525.99","78,755.46","79,052.79","78,307.31","169.55M","-0.29%"
"10/22/2024","78,755.46","79,046.53","79,077.57","78,010.39","122.93M","-0.37%"
"10/21/2024","79,046.53","79,154.63","79,412.54","78,903.63","98.91M","-0.14%"
"10/18/2024","79,154.63","78,567.58","79,425.75","78,539.36","124.73M","0.75%"
"10/17/2024","78,567.58","78,303.67","78,984.29","78,058.17","90.50M","0.34%"
"10/16/2024","78,303.67","77,823.01","78,360.14","77,661.56","171.41M","0.62%"
"10/15/2024","77,823.01","78,230.44","78,230.76","77,380.56","117.28M","-0.52%"
"10/14/2024","78,230.44","78,006.74","78,461.07","77,694.97","82.09M","0.29%"
"10/11/2024","78,006.74","77,368.30","78,154.08","77,195.40","98.86M","0.83%"
"10/10/2024","77,368.30","77,334.10","77,677.22","77,159.78","150.58M","0.04%"
"10/09/2024","77,334.10","77,473.00","77,532.03","76,641.60","107.36M","-0.18%"
"10/08/2024","77,473.00","78,303.35","78,322.19","76,818.21","154.72M","-1.06%"
"10/07/2024","78,303.35","78,282.37","78,622.15","78,104.27","110.32M","0.03%"
"10/04/2024","78,282.37","78,478.86","79,006.75","78,196.81","113.64M","-0.25%"
"10/03/2024","78,478.86","79,130.18","79,346.61","78,152.17","133.68M","-0.82%"
"10/02/2024","79,130.18","78,580.40","79,629.12","78,580.40","124.95M","0.70%"
"10/01/2024","78,580.40","78,506.28","79,356.53","78,283.39","155.57M","0.09%"
"09/30/2024","78,506.28","79,510.60","79,718.94","78,506.28","199.54M","-1.26%"
"09/27/2024","79,510.60","79,226.17","79,709.76","78,794.60","139.46M","0.36%"
"09/26/2024","79,226.17","77,893.77","79,704.70","77,891.02","157.54M","1.71%"
"09/25/2024","77,893.77","76,753.46","78,123.47","76,671.55","188.67M","1.49%"
"09/23/2024","76,753.46","75,830.21","76,803.93","75,689.23","113.45M","1.22%"
"09/20/2024","75,830.21","75,810.20","76,335.67","75,630.27","240.17M","0.03%"
"09/19/2024","75,810.20","74,844.95","76,278.42","74,844.95","299.35M","1.29%"
"09/18/2024","74,844.95","75,175.59","75,175.59","74,323.93","92.28M","-0.44%"
"09/17/2024","75,175.59","74,282.90","75,411.76","74,281.28","92.07M","1.20%"
"09/16/2024","74,282.90","74,214.25","74,589.38","74,209.99","","-0.11%"
"09/13/2024","74,367.50","74,089.56","74,548.67","74,085.28","145.97M","0.38%"
"09/12/2024","74,089.56","73,223.30","74,452.20","73,223.30","141.39M","1.18%"
"09/11/2024","73,223.30","74,012.68","74,080.49","72,921.18","178.22M","-1.07%"
"09/10/2024","74,012.68","73,924.07","74,169.83","73,582.23","135.28M","0.12%"
"09/09/2024","73,924.07","73,874.19","74,409.41","73,760.75","109.93M","0.07%"
"09/06/2024","73,874.19","74,721.80","74,721.80","73,860.16","114.50M","-1.13%"
"09/05/2024","74,721.80","74,533.58","74,820.20","73,948.81","137.60M","0.25%"
"09/04/2024","74,533.58","74,806.97","74,806.97","74,278.24","146.63M","-0.37%"
"09/03/2024","74,806.97","76,041.39","76,190.13","74,716.08","125.75M","-1.62%"
"09/02/2024","76,041.39","76,290.35","76,360.27","75,769.39","82.59M","-0.33%"
"08/30/2024","76,290.35","76,784.41","77,011.61","75,966.66","156.38M","-0.64%"
"08/29/2024","76,784.41","76,526.15","76,963.09","76,389.74","93.04M","0.34%"
"08/28/2024","76,526.15","77,095.92","77,183.90","76,443.39","105.73M","-0.74%"
"08/27/2024","77,095.92","76,716.86","77,247.94","76,660.05","94.03M","0.49%"
"08/26/2024","76,716.86","76,971.36","77,123.05","76,552.07","78.55M","-0.33%"
"08/23/2024","76,971.36","76,411.79","77,294.12","76,408.69","108.50M","0.73%"
"08/22/2024","76,411.79","76,894.08","77,593.89","76,377.21","87.49M","-0.63%"
"08/21/2024","76,894.08","76,637.97","77,068.91","76,542.86","87.32M","0.33%"
"08/20/2024","76,637.97","76,665.23","77,062.92","76,503.95","91.63M","-0.04%"
"08/19/2024","76,665.23","75,706.13","76,819.26","75,684.33","110.89M","1.27%"
"08/16/2024","75,706.13","75,170.13","76,054.93","75,170.13","138.79M","0.71%"
"08/15/2024","75,170.13","74,395.23","75,836.65","74,294.43","125.66M","1.04%"
"08/14/2024","74,395.23","74,033.09","74,860.89","73,756.79","95.31M","0.49%"
"08/13/2024","74,033.09","73,645.00","74,033.09","73,330.29","96.25M","0.53%"
"08/12/2024","73,645.00","73,728.30","74,105.08","73,474.50","84.81M","-0.11%"
"08/08/2024","73,728.30","73,357.30","73,825.30","72,537.29","140.08M","0.51%"
"08/07/2024","73,357.30","72,502.26","73,395.02","72,496.29","124.83M","1.18%"
"08/06/2024","72,502.26","72,595.10","72,773.69","71,690.70","124.52M","-0.13%"
"08/05/2024","72,595.10","73,449.42","73,449.42","71,326.33","174.19M","-1.16%"
"08/02/2024","73,449.42","74,712.02","74,726.93","73,405.73","132.36M","-1.69%"
"08/01/2024","74,712.02","75,661.56","75,826.24","74,646.46","83.62M","-1.25%"
"07/31/2024","75,661.56","74,092.71","75,675.84","74,043.57","152.51M","2.12%"
"07/30/2024","74,092.71","73,872.66","74,274.25","73,556.81","98.31M","0.30%"
"07/29/2024","73,872.66","74,042.43","74,451.95","73,805.36","87.40M","-0.23%"
"07/26/2024","74,042.43","73,687.25","74,187.73","73,588.30","84.69M","0.48%"
"07/25/2024","73,687.25","73,596.11","73,694.77","72,530.09","102.98M","0.12%"
"07/24/2024","73,596.11","73,652.16","73,791.04","73,301.07","87.22M","-0.08%"
