"Name","Last","High","Low","Chg. %","Vol.","Upside","Time"
"Anglo American","52,466","53,500","52,030","4.35%","368.88K","xx.xx","09:12:53"
"FirstRand Ltd","7,400","7,420","7,240","1.89%","3.39M","xx.xx","09:15:02"
"Investec Ltd","11,779","11,808","11,612","1.83%","263.48K","xx.xx","09:12:07"
"Nedbank Group","25,820","26,044","25,006","1.87%","658.42K","xx.xx","09:12:16"
"Sanlam Ltd","8,697","8,700","8,455","2.92%","1.22M","xx.xx","09:11:04"
"Standard Bank Grp","23,765","23,838","22,860","2.56%","998.79K","xx.xx","09:11:55"
"Shoprite Holdings","29,012","29,081","27,800","1.61%","404.13K","xx.xx","09:11:53"
"British American Tobacco","78,886","80,111","78,759","-1.94%","143.33K","xx.xx","09:09:43"
"Investec","11,871","11,875","11,293","2.38%","384.97K","xx.xx","09:11:35"
"Mondi","28,282","28,770","27,817","1.01%","125.71K","xx.xx","09:15:02"
"Old Mutual","1,150","1,157","1,130","1.50%","2.79M","xx.xx","09:11:52"
"Sasol Ltd","6,445","6,655","6,323","0.47%","1.45M","xx.xx","09:15:09"
"Anglo American Platinum","64,274","66,914","63,000","0.56%","254.82K","xx.xx","09:12:19"
"Naspers","508,338","508,682","495,562","3.91%","161.86K","xx.xx","09:11:29"
"Gold Fields","39,984","40,733","39,232","-4.58%","1.03M","xx.xx","09:15:03"
"Discovery Holdings","20,863","20,875","20,350","1.28%","487.58K","xx.xx","09:15:09"
"RMB Holdings","42","43","40","2.44%","1.98M","xx.xx","09:09:56"
"Remgro","16,207","16,383","16,068","1.37%","416.1K","xx.xx","09:11:52"
"MTN Group","12,244","12,415","12,080","-0.23%","1.69M","xx.xx","09:10:46"
"AngloGold Ashanti ADR","74,201","76,000","73,630","-4.39%","430.62K","xx.xx","09:14:59"
"Woolworths Holdings","5,813","5,862","5,717","0.92%","476.12K","xx.xx","09:11:52"
"Aspen Pharmacare Holdings","12,484","12,558","12,131","2.54%","485.24K","xx.xx","09:12:21"
"Impala Platinum Holdings","11,274","11,510","10,910","1.69%","1.46M","xx.xx","09:11:53"
"Exxaro Resources","15,640","15,641","15,068","2.88%","210.9K","xx.xx","09:11:54"
"Bidvest Group Ltd","24,482","24,496","23,490","4.20%","724.37K","xx.xx","09:15:04"
"Vodacom Group","13,675","13,844","13,200","-0.15%","598.75K","xx.xx","09:11:52"
"Absa","17,286","17,533","16,961","1.24%","842.02K","xx.xx","09:11:52"
"Growthpoint Properties","1,317","1,328","1,270","0.77%","1.41M","xx.xx","09:11:16"
"Reinet Invest","48,785","49,533","48,227","-0.14%","83.75K","xx.xx","09:11:41"
"Mr Price","24,239","24,439","23,588","2.25%","366.34K","xx.xx","09:15:10"
"Capitec Bank","343,708","349,598","340,917","-0.14%","157.74K","xx.xx","09:11:57"
"Clicks","39,825","40,078","39,255","0.67%","286.08K","xx.xx","09:12:20"
"Anheuser Busch Inbev","121,615","121,617","120,171","0.58%","67.16K","xx.xx","09:11:47"
"Bid Corp","47,440","47,452","46,500","1.48%","184.74K","xx.xx","09:10:48"
"Glencore","6,140","6,217","6,045","3.19%","2.03M","xx.xx","09:11:52"
"NEPI Rockcastle","14,257","14,488","13,950","-0.04%","509.74K","xx.xx","09:11:57"
"MultiChoice","10,875","10,961","10,711","0.29%","44.99K","xx.xx","09:11:56"
"Prosus","89,549","89,670","87,300","3.48%","274.83K","xx.xx","09:15:06"
"Northam Platinum Holdings","12,747.00","12,947.00","12,241.00","2.37%","518.39K","xx.xx","09:11:52"
"BHP Group Ltd","44,882.00","45,339.00","44,485.00","2.32%","158.72K","xx.xx","09:15:03"
